"","gridID","presence","year","predictedValue"
"488","X12-207",0,"2016",0
"489","X12-207",0,"2016",0
"490","X12-207",0,"2016",0
"491","X12-207",0,"2016",0
"492","X12-207",0,"2016",0
"493","X12-207",0,"2016",0
"494","X12-207",0,"2016",0
"495","X12-278",1,"2016",0
"496","X12-278",1,"2016",1
"497","X12-278",1,"2016",1
"498","X12-278",1,"2016",1
"499","X12-278",1,"2016",1
"500","X12-278",1,"2016",1
"501","X12-278",1,"2016",0
"502","X12-278",1,"2016",1
"503","X12-278",1,"2016",1
"504","X12-278",1,"2016",1
"505","X12-278",1,"2016",1
"506","X12-278",1,"2016",1
"507","X12-278",1,"2016",1
"508","X12-278",1,"2016",1
"509","X12-278",1,"2016",1
"510","X12-278",1,"2016",1
"511","X12-278",1,"2016",1
"512","X12-278",1,"2016",1
"513","X12-278",1,"2016",1
"514","X12-278",1,"2016",1
"515","X12-278",1,"2016",1
"516","X12-278",1,"2016",0
"517","X12-278",1,"2016",1
"518","X12-278",1,"2016",1
"519","X12-278",1,"2016",1
"520","X12-278",1,"2016",0
"521","X12-278",1,"2016",1
"522","X12-278",1,"2016",1
"523","X12-278",1,"2016",1
"524","X12-278",1,"2016",1
"525","X12-278",1,"2016",1
"526","X12-278",1,"2016",1
"527","X12-278",1,"2016",0
"528","X12-278",1,"2016",0
"529","X12-278",1,"2016",1
"530","X12-278",1,"2016",0
"531","X12-278",1,"2016",1
"532","X12-278",1,"2016",1
"533","X12-278",1,"2016",1
"534","X12-278",1,"2016",1
"535","X12-278",1,"2016",1
"536","X12-278",1,"2016",0
"537","X12-278",1,"2016",0
"538","X12-278",1,"2016",1
"539","X12-278",1,"2016",1
"540","X12-278",1,"2016",0
"541","X12-278",1,"2016",1
"542","X12-278",1,"2016",1
"543","X12-278",1,"2016",1
"544","X12-278",1,"2016",1
"545","X12-278",1,"2016",1
"546","X12-278",1,"2016",0
"547","X12-278",1,"2016",1
"548","X12-278",1,"2016",0
"549","X12-278",1,"2016",0
"550","X12-278",1,"2016",1
"551","X12-278",1,"2016",0
"552","X12-278",1,"2016",1
"553","X12-278",1,"2016",1
"554","X12-278",1,"2016",1
"555","X12-278",1,"2016",1
"556","X12-278",1,"2016",1
"557","X12-278",1,"2016",1
"558","X12-278",1,"2016",1
"559","X12-278",1,"2016",1
"560","X12-278",1,"2016",1
"561","X12-278",1,"2016",1
"562","X12-278",1,"2016",0
"563","X12-278",1,"2016",1
"564","X12-278",0,"2016",0
"565","X12-278",0,"2016",0
"566","X12-278",0,"2016",0
"567","X12-278",0,"2016",1
"568","X12-278",0,"2016",0
"569","X12-278",0,"2016",0
"570","X12-278",0,"2016",1
"571","X12-278",0,"2016",0
"572","X12-278",0,"2016",0
"573","X12-278",0,"2016",0
"574","X12-278",0,"2016",0
"575","X12-278",0,"2016",0
"576","X12-278",0,"2016",0
"577","X12-278",0,"2016",0
"578","X12-278",0,"2016",0
"579","X12-278",0,"2016",0
"580","X12-278",0,"2016",0
"581","X12-278",0,"2016",0
"582","X12-278",0,"2016",0
"583","X12-278",0,"2016",0
"584","X12-278",0,"2016",0
"585","X12-278",0,"2016",0
"586","X12-278",0,"2016",0
"587","X12-278",0,"2016",0
"588","X12-278",0,"2016",0
"589","X12-278",0,"2016",0
"590","X12-278",0,"2016",0
"591","X12-278",0,"2016",0
"592","X12-278",0,"2016",1
"593","X12-278",0,"2016",1
"594","X12-278",0,"2016",0
"595","X12-278",0,"2016",0
"596","X12-278",0,"2016",0
"597","X12-278",0,"2016",0
"598","X12-278",0,"2016",0
"599","X12-278",0,"2016",1
"600","X12-278",0,"2016",0
"601","X12-278",0,"2016",0
"602","X12-278",0,"2016",0
"603","X12-278",0,"2016",0
"604","X12-278",0,"2016",0
"605","X12-278",0,"2016",0
"606","X12-278",0,"2016",0
"607","X12-278",0,"2016",1
"608","X12-278",0,"2016",0
"609","X12-278",0,"2016",1
"610","X12-278",0,"2016",0
"611","X12-278",0,"2016",0
"612","X12-278",0,"2016",0
"613","X12-278",0,"2016",0
"614","X12-278",0,"2016",0
"615","X12-278",0,"2016",0
"616","X12-278",0,"2016",0
"617","X12-278",0,"2016",0
"618","X12-278",0,"2016",0
"619","X12-278",0,"2016",0
"620","X12-278",0,"2016",0
"621","X12-278",0,"2016",0
"622","X12-278",0,"2016",0
"623","X12-278",0,"2016",0
"624","X12-278",0,"2016",0
"625","X12-278",0,"2016",0
"626","X12-278",0,"2016",0
"627","X12-278",0,"2016",0
"628","X12-278",0,"2016",0
"629","X12-278",0,"2016",0
"630","X12-281",1,"2016",1
"631","X12-281",1,"2016",1
"632","X12-281",1,"2016",1
"633","X12-281",1,"2016",0
"634","X12-281",1,"2016",1
"635","X12-281",1,"2016",0
"636","X12-281",1,"2016",0
"637","X12-281",1,"2016",0
"638","X12-281",1,"2016",0
"639","X12-281",1,"2016",0
"640","X12-281",1,"2016",1
"641","X12-281",1,"2016",0
"642","X12-281",1,"2016",1
"643","X12-281",1,"2016",1
"644","X12-281",1,"2016",0
"645","X12-281",1,"2016",0
"646","X12-281",1,"2016",0
"647","X12-281",1,"2016",1
"648","X12-281",1,"2016",1
"649","X12-281",1,"2016",1
"650","X12-281",1,"2016",0
"651","X12-281",1,"2016",0
"652","X12-281",1,"2016",0
"653","X12-281",1,"2016",0
"654","X12-281",1,"2016",1
"655","X12-281",1,"2016",1
"656","X12-281",1,"2016",0
"657","X12-281",1,"2016",1
"658","X12-281",1,"2016",1
"659","X12-281",1,"2016",1
"660","X12-281",1,"2016",1
"661","X12-281",1,"2016",1
"662","X12-281",1,"2016",1
"663","X12-281",1,"2016",1
"664","X12-281",1,"2016",0
"665","X12-281",1,"2016",0
"666","X12-281",1,"2016",0
"667","X12-281",1,"2016",1
"668","X12-281",1,"2016",1
"669","X12-281",1,"2016",0
"670","X12-281",1,"2016",1
"671","X12-281",1,"2016",0
"672","X12-281",1,"2016",0
"673","X12-281",1,"2016",1
"674","X12-281",1,"2016",1
"675","X12-281",1,"2016",1
"676","X12-281",1,"2016",0
"677","X12-281",1,"2016",0
"678","X12-281",1,"2016",1
"679","X12-281",1,"2016",0
"680","X12-281",1,"2016",1
"681","X12-281",1,"2016",1
"682","X12-281",1,"2016",1
"683","X12-281",0,"2016",0
"684","X12-281",0,"2016",0
"685","X12-297",0,"2016",0
"686","X12-297",0,"2016",0
"687","X12-297",0,"2016",0
"688","X12-297",0,"2016",0
"689","X12-297",0,"2016",0
"690","X12-297",0,"2016",0
"691","X12-297",0,"2016",0
"692","X12-297",0,"2016",0
"693","X12-297",0,"2016",0
"694","X12-297",0,"2016",0
"695","X12-297",0,"2016",0
"696","X12-297",0,"2016",0
"697","X12-297",0,"2016",0
"698","X12-297",0,"2016",0
"699","X12-297",0,"2016",0
"700","X12-297",0,"2016",0
"701","X12-297",0,"2016",0
"702","X12-297",0,"2016",0
"703","X12-297",0,"2016",0
"704","X12-297",0,"2016",0
"705","X12-297",0,"2016",0
"706","X12-297",0,"2016",0
"707","X12-297",0,"2016",0
"708","X12-297",0,"2016",0
"709","X12-297",0,"2016",0
"710","X12-297",0,"2016",0
"711","X12-297",0,"2016",0
"712","X12-297",0,"2016",0
"713","X12-297",0,"2016",0
"714","X12-297",0,"2016",0
"715","X12-297",0,"2016",0
"716","X12-297",0,"2016",0
"717","X12-297",0,"2016",0
"718","X12-297",0,"2016",0
"719","X12-297",0,"2016",0
"720","X12-297",0,"2016",0
"721","X12-297",0,"2016",0
"722","X12-297",0,"2016",0
